[0]分類,[1]日本語名,[2]ID,[3]反転が可能か,[4]凸,[5]凹,[6]下層に表示,[7]上層に表示,[8]注意書き,[9]同一パーツ同士での吸着を無効化,[10]選択中のパーツでレールを伸ばす機能を無効化,[10]階層を超えて接続できるか,[11]画像ファイル名末尾の数だけ使用数を計上するか
レール,高架駅プレート(凸),elevated_station_plate_l,,\2160/296/0&2160/896/0,\0/296/180&0/1376/180,,,【高架駅プレート】幅が広い側のレール間隔：駅幅 (1/2直線 108mm),,,,
レール,高架駅プレート(凹),elevated_station_plate_r,,\2270/296/0&2270/1376/0,\110/296/180&110/896/180,,,【高架駅プレート】幅が広い側のレール間隔：駅幅 (1/2直線 108mm),,,,
情景,高架駅,elevated_station,FALSE,\2160/1471/0&2160/391/0,\0/1471/180&0/391/180,,,【高架駅】レール間隔：駅幅 (1/2直線 108mm),,,,
情景,高架駅橋脚,elevated_station_pier,FALSE,\145/295/h&145/1375/h,\145/295/h&145/1375/h,TRUE,,,TRUE,TRUE,TRUE,
