[0]分類,[1]日本語名,[2]ID,[3]反転が可能か,[4]凸,[5]凹,[6]下層に表示,[7]上層に表示,[8]注意書き,[9]同一パーツ同士での吸着を無効化,[10]選択中のパーツでレールを伸ばす機能を無効化,[11]画像ファイル名末尾の数だけ使用数を計上するか
レール,鹿の角(凹),deer_horn_l,,\3240/191/0&3240/791/0&3240/1391/0&3240/1991/0,\0/791/180,,,,,,
レール,鹿の角(凸),deer_horn_r,,\3240/791/0,\0/191/180&0/791/180&0/1391/180&0/1991/180,,,,,,
