[0]分類,[1]日本語名,[2]ID,[3]反転が可能か,[4]凸,[5]凹,[6]下層に表示,[7]上層に表示,[8]注意書き,[9]同一パーツ同士での吸着を無効化,[10]選択中のパーツでレールを伸ばす機能を無効化,[11]画像ファイル名末尾の数だけ使用数を計上するか
情景,複線橋脚(灰色),double_blocks_pier_gray,FALSE,\151.2/476/h&151.2/1076/h,\151.2/476/h&151.2/1076/h,,,,TRUE,TRUE,TRUE
情景,ミニ橋脚,mini_pier,FALSE,\151.2/476/h,\151.2/476/h,,,,TRUE,TRUE,TRUE
情景,PC橋脚,pc_pier,FALSE,\145/288/h,\145/288/h,,,,TRUE,TRUE,
情景,小さな鉄橋(赤色),small_iron_bridge_red,FALSE,\0/445/h&2160/445/h,\0/445/h&2160/445/h,,,【小鉄橋】状態切り替えボタン[G]を押すことで下路式/下路式を切り替えられます,TRUE,TRUE,
情景,[単]大きな鉄橋(赤色),big_iron_bridge_red_single,FALSE,\0/425/h&4320/425/h,\0/425/h&4320/425/h,,TRUE,,TRUE,TRUE,
情景,[複]大きな鉄橋(赤色),big_iron_bridge_red_double,FALSE,\0/425/h&4320/425/h&0/1069/h&4320/1069/h,\0/425/h&4320/425/h&0/1069/h&4320/1069/h,,TRUE,,TRUE,TRUE,
情景,ガーター橋(赤色),girder_bridge_red,,\1080/371/0,\0/371/180,,,,,,
情景,エクストラドーズド橋,extradosed_bridge,FALSE,\0/495/h&2160/495/h&1080/495/h,\0/495/h&2160/495/h&1080/495/h,,,,TRUE,TRUE,
情景,車止め(赤色),car_stop,FALSE,\420/191/0,\0/191/180,,,,,,
情景,車止め(灰色),car_stop_gray,FALSE,\420/191/0,\0/191/180,,,,,,
情景,単線踏切,railroad_crossing,FALSE,\2160/544.5/0,\0/544.5/180,,,,,,
情景,複線踏切,double_track_crossing,FALSE,\2160/544.5/0&2160/1144.5/0,\0/544.5/180&0/1144.5/180,,,,,,
情景,ホームドアステーション(ホームドアあり),platform_door_station_forward,FALSE,\2160/540/0,\0/540/180,,,,,,
情景,ホームドアステーション(ホームドアなし),platform_door_station_backward,FALSE,\2160/540/0,\0/540/180,,,,,,
情景,トンネル,tunnel,FALSE,\1657.35065/443.35065/45&130/1077/180,\1657.35065/443.35065/45&130/1077/180,,TRUE,,,TRUE,
情景,のびるトンネル,extending_tunnel,FALSE,\70/655/h&4390/655/h,\70/655/h&4390/655/h,,TRUE,,,TRUE,
情景,車庫,garage,FALSE,\15/268/h&1395/268/h,\15/268/h&1395/268/h,,TRUE,,,TRUE,
情景,洗車場,car_wash,FALSE,\2160/497/0,\0/497/180,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
