[0]分類,[1]日本語名,[2]ID,[3]反転が可能か,[4]凸,[5]凹,[6]下層に表示,[7]上層に表示,[8]注意書き,[9]同一パーツ同士での吸着を無効化,[10]選択中のパーツでレールを伸ばす機能を無効化,[11]画像ファイル名末尾の数だけ使用数を計上するか
レール,3分岐ポイント(凸),3_branch_a,,\2160/770/0&632.64935/1403.64935/-135,\0/770/180&632.64935/136.35065/135,,,,,,
レール,3分岐ポイント(凹),3_branch_b,,\2160/770/0&1527.35065/136.35065/45,\0/770/180&1527.35065/1403.64935/-45,,,,,,
