[0]分類,[1]日本語名,[2]ID,[3]反転が可能か,[4]凸,[5]凹,[6]下層に表示,[7]上層に表示,[8]注意書き,[9]同一パーツ同士での吸着を無効化,[10]選択中のパーツでレールを伸ばす機能を無効化,[11]画像ファイル名末尾の数だけ使用数を計上するか
情景,都会の駅,city_station,FALSE,\2160/540/0,\0/540/180,,,,,,
情景,切り通しレール,cut_through,FALSE,\2160/540/0,\0/540/180,,,,,,
情景,地下の駅,underground_station,FALSE,\2160/540/0,\0/540/180,,,,,,
