[0]分類,[1]日本語名,[2]ID,[3]反転が可能か,[4]凸,[5]凹,[6]下層に表示,[7]上層に表示,[8]注意書き,[9]同一パーツ同士での吸着を無効化,[10]選択中のパーツでレールを伸ばす機能を無効化,[11]画像ファイル名末尾の数だけ使用数を計上するか
情景,たてよこ駅(白色),tateyoko_station_white,FALSE,\2270/540/0&110/540/180&1190/0/same&1190/1080/same,\2270/540/0&110/540/180&1190/0/same&1190/1080/same,,,【たてよこ駅】状態切り替えボタン[G]を押すことでジョイントの凹凸を切り替えられます,,,
情景,たてよこ駅(灰色),tateyoko_station_gray,FALSE,\2270/540/0&110/540/180&1190/0/same&1190/1080/same,\2270/540/0&110/540/180&1190/0/same&1190/1080/same,,,【たてよこ駅】状態切り替えボタン[G]を押すことでジョイントの凹凸を切り替えられます,,,
レール,自動Y字,auto_y,FALSE,\2270/731/0&110/191/180,\2270/731/0&110/1271/180,,,【自動Y字】状態切り替えボタン[G]を押すことでジョイントの凹凸を切り替えられます,,TRUE,
