[0]分類,[1]日本語名,[2]ID,[3]反転が可能か,[4]凸,[5]凹,[6]下層に表示,[7]上層に表示,[8]注意書き,[9]同一パーツ同士での吸着を無効化,[10]選択中のパーツでレールを伸ばす機能を無効化,[11]画像ファイル名末尾の数だけ使用数を計上するか
レール,ジョイントレール(凸),joint_plus,,\110/191/180&480/191/0,,,,,,,
レール,ジョイントレール(凹),joint_minus,,,\0/191/180&370/191/0,,,,,,
