[0]分類,[1]日本語名,[2]ID,[3]反転が可能か,[4]凸,[5]凹,[6]下層に表示,[7]上層に表示,[8]注意書き,[9]同一パーツ同士での吸着を無効化,[10]選択中のパーツでレールを伸ばす機能を無効化,[11]画像ファイル名末尾の数だけ使用数を計上するか
レール,リアル直線,real_straight,,\2160/231/0,\0/231/180,,,,,,
レール,リアル曲線,real_curve,,\1527.35065/136.35065/45,\0/770/180,,,,,,
レール,リアル外側曲線,real_outer_curve,,\1951.61472/134.61472/45,\0/943/180,,,,,,
レール,リアルストップレール,real_stop,FALSE,\2160/231/0,\0/231/180,,,,,,
情景,島式ホームキット,real_island_platform,FALSE,\0/-315/h&1080/-315/h&0/885/h&1080/885/h&0/285/same&1080/285/same,\0/-315/h&1080/-315/h&0/885/h&1080/885/h&0/285/same&1080/285/same,,,【島式ホームキット】⚠️他の駅と異なり、レール間隔が駅幅ではないので注意してください！\【島式ホームキット】レール間隔：三複線幅 (60mm×2),,TRUE,
